"","location","Year","measure","mean_size"
"1","Achara","2009","Ammonium",1.09802151074048
"2","Achara","2009","Anionic active surfactants",0
"3","Achara","2009","Arsenic",0.338550420168067
"4","Achara","2009","Bicarbonates",0.0015306574517101
"5","Achara","2009","Biochemical Oxygen",0.0789888517989541
"6","Achara","2009","Cadmium",0
"7","Achara","2009","Calcium",-0.00340822980209799
"8","Achara","2009","Chemical Oxygen Demand (Cr)",0.0226592197111065
"9","Achara","2009","Chemical Oxygen Demand (Mn)",9999.55033279964
"10","Achara","2009","Chlorides",-0.0155200760964057
"11","Achara","2009","Chromium",1625.19170535714
"12","Achara","2009","Copper",0.631484605995606
"13","Achara","2009","Cyanides",0
"14","Achara","2009","Dissolved oxygen",0.0319279607063118
"15","Achara","2009","Dissolved silicates",0.0445610972551588
"16","Achara","2009","Iron",0.0229134416924665
"17","Achara","2009","Lead",0.400827205882353
"18","Achara","2009","Magnesium",-0.0556882964453388
"19","Achara","2009","Manganese",2.56540404040404
"20","Achara","2009","Mercury",0
"21","Achara","2009","Nickel",0.605288461538462
"22","Achara","2009","Nitrates",0.487824378024785
"23","Achara","2009","Nitrites",1.21832454984629
"24","Achara","2009","Organic nitrogen",129.713740445746
"25","Achara","2009","Orthophosphate-phosphorus",0.449444732028169
"26","Achara","2009","Petroleum hydrocarbons",0.180017333094256
"27","Achara","2009","Sodium",-0.0100763767159152
"28","Achara","2009","Sulphates",-0.0358685708943629
"29","Achara","2009","Total coliforms",-0.339231702625115
"30","Achara","2009","Total dissolved salts",0.0312558246227297
"31","Achara","2009","Total nitrogen",0.134248461432244
"32","Achara","2009","Total phosphorus",0.184325845722904
"33","Achara","2009","Water temperature",0.068497168680992
"34","Achara","2009","Zinc",0.121603347919137
"35","Achara","2010","Ammonium",1.40418749490109
"36","Achara","2010","Arsenic",0.149008086140439
"37","Achara","2010","Biochemical Oxygen",0.0790328928754782
"38","Achara","2010","Cadmium",-0.00347222222222225
"39","Achara","2010","Calcium",0.0159187511648404
"40","Achara","2010","Chemical Oxygen Demand (Cr)",0.119477513227513
"41","Achara","2010","Chemical Oxygen Demand (Mn)",0.117839023481618
"42","Achara","2010","Chlorides",0.0506540245474153
"43","Achara","2010","Chromium",0.557578184591915
"44","Achara","2010","Copper",1.0719420880883
"45","Achara","2010","Dissolved oxygen",0.00646146155713836
"46","Achara","2010","Dissolved silicates",0.0337391396258848
"47","Achara","2010","Inorganic nitrogen",0.0766295563833561
"48","Achara","2010","Lead",0.313308913308913
"49","Achara","2010","Magnesium",0.140845946403192
"50","Achara","2010","Mercury",0.0909090909090909
"51","Achara","2010","Nickel",0.214468053030672
"52","Achara","2010","Nitrates",0.0731795723389879
"53","Achara","2010","Nitrites",0.512057537964516
"54","Achara","2010","Organic nitrogen",212.097380202457
"55","Achara","2010","Orthophosphate-phosphorus",0.229781358607502
"56","Achara","2010","Total nitrogen",0.106316002574954
"57","Achara","2010","Total phosphorus",0.226347541469699
"58","Achara","2010","Water temperature",0.0849001441392745
"59","Achara","2010","Zinc",0.240699327772499
"60","Achara","2011","Ammonium",72.7914722303365
"61","Achara","2011","Arsenic",1499.88623325614
"62","Achara","2011","Biochemical Oxygen",0.222063607991855
"63","Achara","2011","Cadmium",1.11111111111099e-05
"64","Achara","2011","Calcium",0.0212885537996347
"65","Achara","2011","Chemical Oxygen Demand (Cr)",20832.8764020693
"66","Achara","2011","Chemical Oxygen Demand (Mn)",0.0277692718265874
"67","Achara","2011","Chlorides",0.111524210575847
"68","Achara","2011","Chromium",733.133347727273
"69","Achara","2011","Copper",0.321022115192135
"70","Achara","2011","Dissolved oxygen",0.0197311580703738
"71","Achara","2011","Dissolved silicates",5450.15567227571
"72","Achara","2011","Lead",0.37693612215671
"73","Achara","2011","Magnesium",0.307894790751509
"74","Achara","2011","Mercury",-0.0714214285714286
"75","Achara","2011","Nickel",12132.9853484921
"76","Achara","2011","Nitrates",0.214527643732558
"77","Achara","2011","Nitrites",0.872800362592018
"78","Achara","2011","Organic nitrogen",-0.0416493055555555
"79","Achara","2011","Orthophosphate-phosphorus",0.354381817310769
"80","Achara","2011","Total nitrogen",612.428721607857
"81","Achara","2011","Total phosphorus",0.272350384414441
"82","Achara","2011","Water temperature",0.517020448411113
