"","measure","Year","Waterway_1","Waterway_2","Waterway_3","Waterway_4"
"1","1,2,3-Trichlorobenzene","2008","-0.0282492443617763","0","0","0"
"2","1,2,3-Trichlorobenzene","2009","0","0","0","0"
"3","1,2,4-Trichlorobenzene","2008","0","0","0","0"
"4","1,2,4-Trichlorobenzene","2009","0","0","0","0"
"5","Acenaphthene","2008","0.259163240265408","0","0","0"
"6","Acenaphthene","2009","0","0","0","0"
"7","Acenaphthylene","2008","0","0","0","0"
"8","Acenaphthylene","2009","0","0","0","0"
"9","AGOC-3A","2014","0.429088954215355","0.372189738096185","0","0"
"10","AGOC-3A","2015","1.10278501410003","0.590766564373765","0","0"
"11","AGOC-3A","2016","9.92738834256732","47.8327284765417","0","0"
"12","Alachlor","2005","100+","100+","0","0"
"13","Alachlor","2006","5.33852559006101","26.7212909451914","0","0"
"14","Alachlor","2007","0.557589640512641","0.488977949893452","0","0"
"15","Alachlor","2009","0.0227123675399538","0.0129233511586453","0","0"
"16","Aldrin","2005","93.2281077164855","100+","0","0"
"17","Aldrin","2006","11.2650515706209","0.474865039921145","0","0"
"18","Aldrin","2007","0.430163480231991","0.451328912448976","0","0"
"19","Aldrin","2008","0.0650695007685906","0.232655502392345","0","0"
"20","Aldrin","2009","-0.0421978021978022","-0.186666666666667","0","0"
"21","alpha-Hexachlorocyclohexane","2005","100+","100+","0","0"
"22","alpha-Hexachlorocyclohexane","2006","0.263501778926749","0.456724742229742","0","0"
"23","alpha-Hexachlorocyclohexane","2007","0.218911640522921","0.171129043206734","0","0"
"24","alpha-Hexachlorocyclohexane","2012","0.333333333333333","0","0","0"
"25","Aluminium","2008","-0.0082061469534663","0.0292632821294708","0","0"
"26","Aluminium","2009","0.592233560048879","0.463342483748029","0","0"
"27","Aluminium","2010","0.0591825718487673","0.175172860213438","0","0"
"28","Aluminium","2014","-0.33333275862069","0","0","0"
"29","Ammonium","1998","0.080988840552037","0.11689945424528","0","0"
"30","Ammonium","1999","0.287206598836929","0.752047804254273","0","0"
"31","Ammonium","2000","0.835224748715349","1.20213188966558","0","0"
"32","Ammonium","2001","0.17335203895693","0.133824921041287","0","0"
"33","Ammonium","2002","0.396117405561759","1.51352303751851","0","0"
"34","Ammonium","2003","0.266496455779716","0.394123412913815","0","0"
"35","Ammonium","2004","56.3701924576514","20.3513113639576","0","0"
"36","Ammonium","2005","35.1076887186397","12.7648501179113","0","0"
"37","Ammonium","2006","0.448635084645428","0.756356262686394","0","0"
"38","Ammonium","2007","0.326975645485635","0.576478089451835","0","0"
"39","Ammonium","2008","0.565554586345504","0.522712306424825","0","0"
"40","Ammonium","2009","0.21819196315862","0.46350806733039","9.27889844188845","0.411927843342519"
"41","Ammonium","2010","0.421777722491187","0.871960117921941","3.30202118925783","4.98688384447946"
"42","Ammonium","2011","0.17438524133184","19.5199738269498","0.513325029257349","0.191777591240451"
"43","Ammonium","2012","29.8963209740488","95.1391932255982","1.52013565389918","45.10233395158"
"44","Ammonium","2013","32.3919756756501","32.717365448572","7.47518931942421","69.271813767146"
"45","Ammonium","2014","23.3651990729555","32.6861015756066","7.21948843481419","100+"
"46","Ammonium","2015","22.712885713422","24.3484738529879","0.330000110573142","100+"
"47","Ammonium","2016","34.6745880346772","38.5998919592753","4.24124144236554","0.180163347193208"
"48","Anionic active surfactants","1999","14.286123115913","59.7565608465608","0","0"
"49","Anionic active surfactants","2000","16.7958991446362","31.2366345733944","0","0"
"50","Anionic active surfactants","2001","25.4895029513215","0.204430624669118","0","0"
"51","Anionic active surfactants","2002","0.465422077922078","-0.0513333333333333","0","0"
"52","Anionic active surfactants","2003","0.0188545390707473","-0.0164640036385959","0","0"
"53","Anionic active surfactants","2004","5.19132201148379","0","0","0"
"54","Anionic active surfactants","2005","2.27081442328701","34.0070156563935","0","0"
"55","Anionic active surfactants","2006","0.16110228877025","0.236906519836622","0","0"
